[2026-05-02 22:34:32] INFO - Created default 'PIF Standard' template
[2026-05-02 22:37:28] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:37:28] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:37:28] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:37:28] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:37:28] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:37:37] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - IP: 127.0.0.1
[2026-05-02 22:37:37] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - Status: 200
[2026-05-02 22:41:08] INFO - GET /api/stats - IP: 100.100.40.55
[2026-05-02 22:41:08] INFO - GET /api/stats - Status: 302
[2026-05-02 22:41:08] INFO - GET /api/stats/extended - IP: 100.100.40.55
[2026-05-02 22:41:08] INFO - GET /api/stats/extended - Status: 302
[2026-05-02 22:41:14] INFO - GET /api/proiecte - IP: 100.100.40.55
[2026-05-02 22:41:14] INFO - GET /api/proiecte - Status: 302
[2026-05-02 22:41:14] INFO - GET /api/stats - IP: 100.100.40.55
[2026-05-02 22:41:14] INFO - GET /api/stats - Status: 302
[2026-05-02 22:41:17] INFO - GET /api/global-tasks - IP: 100.100.40.55
[2026-05-02 22:41:17] INFO - GET /api/global-tasks - Status: 302
[2026-05-02 22:41:19] INFO - GET /api/stats - IP: 100.100.40.55
[2026-05-02 22:41:19] INFO - GET /api/stats - Status: 302
[2026-05-02 22:41:19] INFO - GET /api/stats/extended - IP: 100.100.40.55
[2026-05-02 22:41:19] INFO - GET /api/proiecte - IP: 100.100.40.55
[2026-05-02 22:41:19] INFO - GET /api/stats/extended - Status: 302
[2026-05-02 22:41:19] INFO - GET /api/proiecte - Status: 302
[2026-05-02 22:46:17] INFO - PIF Dashboard starting...
[2026-05-02 22:46:21] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 22:46:21] INFO - GET /api/export/excel - IP: 127.0.0.1
[2026-05-02 22:46:21] INFO - Excel export: projects - pif_export_projects_20260502_224621.xlsx
[2026-05-02 22:46:21] INFO - GET /api/export/excel - Status: 200
[2026-05-02 22:47:25] INFO - PIF Dashboard starting...
[2026-05-02 22:47:44] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 22:47:44] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 22:47:44] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 22:47:44] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 22:47:44] INFO - GET /api/stats - Status: 200
[2026-05-02 22:47:44] INFO - GET /api/stats/extended - Status: 200
[2026-05-02 22:47:44] INFO - GET /api/proiecte - Status: 200
[2026-05-02 22:47:44] INFO - GET /api/global-tasks - IP: 127.0.0.1
[2026-05-02 22:47:44] INFO - GET /api/global-tasks - Status: 200
[2026-05-02 22:47:54] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 22:47:54] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 22:47:54] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 22:47:54] INFO - GET /api/stats - Status: 200
[2026-05-02 22:47:54] INFO - GET /api/proiecte - Status: 200
[2026-05-02 22:47:54] INFO - GET /api/stats/extended - Status: 200
[2026-05-02 22:58:28] INFO - PIF Dashboard starting...
[2026-05-02 22:58:55] INFO - PIF Dashboard starting...
[2026-05-02 22:59:07] INFO - PIF Dashboard initialized
[2026-05-02 22:59:07] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 22:59:07] INFO - GET /api/export/pdf - IP: 127.0.0.1
[2026-05-02 22:59:07] INFO - PDF export: pif_report_25_020_Anfeed_ACS880-04_20260502.pdf
[2026-05-02 22:59:07] INFO - GET /api/export/pdf - Status: 200
[2026-05-02 22:59:07] INFO - POST /api/notify/telegram - IP: 127.0.0.1
[2026-05-02 22:59:07] WARNING - Telegram bot token or chat ID not configured
[2026-05-02 22:59:07] INFO - POST /api/notify/telegram - Status: 500
[2026-05-02 22:59:24] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 22:59:24] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 22:59:24] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 22:59:24] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 22:59:24] INFO - GET /api/stats - Status: 200
[2026-05-02 22:59:24] INFO - GET /api/stats/extended - Status: 200
[2026-05-02 22:59:24] INFO - GET /api/proiecte - Status: 200
[2026-05-02 22:59:24] INFO - GET /api/global-tasks - IP: 127.0.0.1
[2026-05-02 22:59:24] INFO - GET /api/global-tasks - Status: 200
[2026-05-02 23:08:36] INFO - PIF Dashboard starting...
[2026-05-02 23:08:48] INFO - PIF Dashboard initialized
[2026-05-02 23:10:11] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 23:10:11] INFO - POST /api/proiecte/batch - IP: 127.0.0.1
[2026-05-02 23:10:11] INFO - Batch updated 1 projects to status: in_lucru
[2026-05-02 23:10:11] INFO - POST /api/proiecte/batch - Status: 200
[2026-05-02 23:10:28] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 23:10:28] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 23:10:28] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:10:28] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 23:10:28] INFO - GET /api/stats - Status: 200
[2026-05-02 23:10:28] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:10:28] INFO - GET /api/stats/extended - Status: 200
[2026-05-02 23:10:28] INFO - GET /api/global-tasks - IP: 127.0.0.1
[2026-05-02 23:10:28] INFO - GET /api/global-tasks - Status: 200
[2026-05-02 23:13:05] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 23:13:05] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:13:05] INFO - GET /api/proiecte - Status: 302
[2026-05-02 23:13:05] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:13:05] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:13:05] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 23:13:05] INFO - GET /api/stats/extended - Status: 200
